turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
215,64.39920000000008,25.48739999999991,9.8874,9.059999999999999,2.9747999999999997
216,64.72080000000008,25.603199999999905,9.913200000000002,9.083999999999998,2.976
217,65.02020000000007,25.718999999999905,9.9372,9.1068,2.9766
218,65.30700000000007,25.834799999999905,9.9684,9.126599999999998,2.9766
219,65.59560000000006,25.950599999999906,9.996600000000003,9.146999999999997,2.9778
220,65.89980000000007,26.066399999999902,10.023600000000002,9.164999999999996,2.9814
221,66.19860000000008,26.182199999999902,10.053600000000001,9.190199999999997,2.9861999999999997
222,66.49560000000007,26.297999999999902,10.0884,9.208199999999998,2.9874
223,66.80280000000006,26.413799999999902,10.1178,9.226199999999997,2.9892000000000003
224,67.11060000000006,26.529599999999895,10.147800000000002,9.250199999999998,2.9898000000000002
225,67.42860000000006,26.645399999999896,10.174800000000003,9.266399999999997,2.9922000000000004
226,67.73100000000005,26.761199999999896,10.205400000000001,9.2838,2.9958
227,68.03160000000005,26.876999999999896,10.238400000000002,9.302399999999999,2.9963999999999995
228,68.32860000000007,26.992799999999892,10.2696,9.321599999999998,2.9982
229,68.62860000000006,27.10859999999989,10.2954,9.339599999999999,2.9988
230,68.93460000000006,27.224399999999893,10.327800000000002,9.358199999999997,3.0006
231,69.23880000000004,27.340199999999893,10.361400000000001,9.372599999999998,3.0023999999999997
232,69.54300000000005,27.45599999999989,10.3908,9.388199999999998,3.0036
233,69.85560000000005,27.571799999999886,10.429800000000002,9.406799999999999,3.0048000000000004
234,70.16040000000005,27.68759999999989,10.4562,9.423599999999999,3.0084
235,70.46940000000004,27.803399999999886,10.485600000000002,9.444599999999998,3.0108
236,70.76640000000005,27.919199999999883,10.513200000000001,9.461999999999996,3.012
237,71.05800000000005,28.034999999999883,10.539,9.475199999999997,3.0144
238,71.35740000000003,28.150799999999883,10.564800000000002,9.488999999999999,3.0144
239,71.65920000000004,28.266599999999883,10.599600000000002,9.503999999999998,3.0168000000000004
240,71.95920000000004,28.382399999999876,10.6254,9.5238,3.0216000000000003
241,72.27480000000001,28.49819999999988,10.6536,9.5382,3.0234
242,72.57960000000001,28.613999999999876,10.6806,9.554399999999998,3.0252
243,72.87120000000002,28.72979999999988,10.708200000000001,9.572399999999998,3.0276000000000005
244,73.18200000000003,28.845599999999873,10.7382,9.587999999999997,3.03
245,73.48680000000002,28.96139999999987,10.7664,9.6108,3.033
246,73.79220000000001,29.077199999999873,10.797000000000002,9.620999999999999,3.0342000000000002
247,74.0898,29.192999999999873,10.8282,9.639599999999998,3.036
248,74.37960000000001,29.308799999999874,10.863,9.649799999999997,3.0378000000000003
249,74.6742,29.424599999999867,10.893,9.663599999999999,3.039
250,74.96579999999999,29.54039999999987,10.9212,9.682799999999999,3.0413999999999994
251,75.26279999999998,29.656199999999867,10.9512,9.697199999999999,3.0431999999999997
252,75.56519999999999,29.77199999999987,10.979400000000002,9.711599999999999,3.0468
253,75.86219999999999,29.887799999999864,11.0088,9.731399999999997,3.0498000000000003
254,76.158,30.003599999999867,11.037600000000003,9.745199999999997,3.0516000000000005
255,76.45739999999999,30.119399999999864,11.070600000000002,9.759599999999999,3.0552
256,76.76759999999997,30.235199999999864,11.097000000000001,9.772199999999996,3.0576000000000003
257,77.06999999999996,30.350999999999857,11.131200000000002,9.785399999999997,3.06
258,77.35739999999998,30.46679999999986,11.1552,9.798599999999999,3.063
259,77.66159999999998,30.58259999999986,11.177400000000002,9.8148,3.0642
260,77.95079999999997,30.698399999999857,11.218200000000001,9.834599999999998,3.0653999999999995
261,78.24839999999996,30.814199999999854,11.244599999999998,9.848399999999998,3.066
262,78.54539999999996,30.929999999999854,11.275799999999998,9.870599999999998,3.0696
263,78.83579999999996,31.045799999999858,11.304,9.883799999999999,3.0713999999999997
264,79.13519999999997,31.161599999999854,11.336400000000001,9.902399999999998,3.0726000000000004
265,79.43939999999996,31.27739999999985,11.3658,9.915599999999998,3.0756000000000006
266,79.74179999999996,31.393199999999855,11.3994,9.927599999999996,3.0768
267,80.04179999999995,31.508999999999855,11.4306,9.943199999999997,3.078
268,80.32979999999995,31.624799999999848,11.4636,9.960599999999998,3.0791999999999997
269,80.62199999999994,31.740599999999848,11.495400000000002,9.973799999999997,3.0816000000000003
270,80.92619999999995,31.856399999999848,11.5278,9.987599999999999,3.0822000000000003
271,81.23339999999995,31.972199999999845,11.5602,9.9996,3.0876
272,81.52799999999993,32.087999999999845,11.592,10.010399999999997,3.0888
273,81.82919999999993,32.203799999999845,11.6184,10.025999999999996,3.0888
274,82.11779999999993,32.319599999999845,11.649599999999998,10.039199999999997,3.0923999999999996
275,82.40699999999993,32.43539999999984,11.681400000000002,10.057799999999997,3.0936
276,82.71179999999993,32.55119999999984,11.7162,10.074599999999998,3.096
277,83.03459999999991,32.66699999999984,11.752799999999999,10.091399999999998,3.0984000000000003
278,83.32499999999993,32.78279999999984,11.787600000000001,10.109999999999998,3.0996000000000006
279,83.64539999999992,32.89859999999984,11.8128,10.122599999999998,3.1031999999999997
280,83.93759999999992,33.01439999999983,11.844599999999998,10.134599999999999,3.1044
281,84.24179999999991,33.13019999999984,11.872200000000001,10.148999999999996,3.1062
282,84.5309999999999,33.24599999999983,11.8956,10.165199999999997,3.1098000000000003
283,84.83639999999991,33.36179999999983,11.922,10.179599999999999,3.111
284,85.12619999999991,33.47759999999983,11.946,10.193399999999999,3.1115999999999997
285,85.4447999999999,33.59339999999983,11.987400000000001,10.204199999999997,3.1121999999999996
286,85.73399999999991,33.70919999999983,12.015600000000001,10.216199999999997,3.1133999999999995
287,86.01719999999989,33.824999999999825,12.051,10.225199999999997,3.1151999999999997
288,86.3261999999999,33.940799999999825,12.0852,10.240199999999998,3.1163999999999996
289,86.6201999999999,34.05659999999983,12.115200000000002,10.255199999999997,3.1176
290,86.92799999999988,34.17239999999982,12.1446,10.267799999999998,3.1182
291,87.24419999999988,34.288199999999826,12.174,10.283399999999999,3.1206
292,87.54239999999987,34.403999999999826,12.204,10.292399999999997,3.1218000000000004
293,87.84779999999988,34.51979999999982,12.230400000000001,10.304999999999998,3.1241999999999996
294,88.15799999999987,34.63559999999982,12.256200000000002,10.313399999999998,3.1254
295,88.44599999999987,34.75139999999982,12.2868,10.319999999999999,3.1278
296,88.74779999999987,34.86719999999982,12.313799999999999,10.327799999999998,3.1296000000000004
297,89.05139999999986,34.98299999999981,12.3468,10.341599999999998,3.132
298,89.33999999999986,35.09879999999981,12.372,10.357199999999999,3.132
299,89.66159999999986,35.21459999999982,12.399,10.372199999999998,3.1326000000000005
300,89.96879999999987,35.33039999999981,12.425400000000002,10.388399999999997,3.1338000000000004
301,90.28079999999986,35.44619999999981,12.4542,10.400399999999998,3.1361999999999997
302,90.58619999999983,35.56199999999981,12.484200000000001,10.415999999999999,3.1374
303,90.88979999999984,35.67779999999981,12.511800000000001,10.429199999999996,3.1392
304,91.18679999999986,35.793599999999806,12.539400000000002,10.444199999999997,3.1404
305,91.48919999999984,35.909399999999806,12.5658,10.459199999999997,3.1428
306,91.76519999999984,36.025199999999806,12.5922,10.472399999999997,3.1446
307,92.05619999999983,36.14099999999981,12.625800000000002,10.483799999999997,3.1475999999999997
308,92.36099999999983,36.25679999999981,12.6666,10.495799999999997,3.15
309,92.65139999999984,36.3725999999998,12.693600000000002,10.511399999999998,3.1506
310,92.94719999999984,36.48839999999981,12.725400000000002,10.524599999999998,3.1523999999999996
311,93.24659999999983,36.6041999999998,12.7626,10.534199999999997,3.1536
312,93.55259999999983,36.71999999999981,12.7902,10.5468,3.1554
313,93.83339999999981,36.8357999999998,12.8178,10.560599999999999,3.1554
314,94.11119999999984,36.9515999999998,12.8478,10.573799999999995,3.1601999999999997
315,94.4135999999998,37.0673999999998,12.871799999999999,10.588199999999997,3.162
316,94.7135999999998,37.18319999999979,12.8952,10.600199999999997,3.1644
317,95.0093999999998,37.29899999999979,12.927,10.613399999999999,3.1668000000000003
318,95.31719999999981,37.4147999999998,12.957,10.625999999999998,3.1686
